,Paper_title,URL,Review_scores,Average,Rank
0,Variance-Aware Machine Translation Test Sets,https://openreview.net/forum?id=hhKA5k0oVy5,"[7, 8, 8]",7.666666666666667,1
1,The PAIR-R24M Dataset for Multi-animal 3D Pose Estimation,https://openreview.net/forum?id=-wVVl_UPr8,"[7, 7, 6]",6.666666666666667,2
2,HiRID-ICU-Benchmark --- A Comprehensive Machine Learning Benchmark on High-resolution ICU Data,https://openreview.net/forum?id=SnC9rUeqiqd,"[6, 8, 7]",7.0,3
3,MiniHack the Planet: A Sandbox for Open-Ended Reinforcement Learning Research,https://openreview.net/forum?id=skFwlyefkWJ,"[6, 7, 7]",6.666666666666667,4
4,PASS: An ImageNet replacement for self-supervised pretraining without humans,https://openreview.net/forum?id=BwzYI-KaHdr,"[6, 6, 10]",7.333333333333333,5
5,Towards a robust experimental framework and benchmark for lifelong language learning,https://openreview.net/forum?id=yJyIjWyPJgs,"[7, 6, 6]",6.333333333333333,6
6,Pervasive Label Errors in Test Sets Destabilize Machine Learning Benchmarks,https://openreview.net/forum?id=XccDXrDNLek,"[7, 10, 8]",8.333333333333334,7
7,DABS: a Domain-Agnostic Benchmark for Self-Supervised Learning,https://openreview.net/forum?id=Uk2mymgn_LZ,"[6, 7, 7, 6]",6.5,8
8,Empirical Study of Off-Policy Policy Evaluation for Reinforcement Learning,https://openreview.net/forum?id=IsK8iKbL-I,"[7, 7, 6]",6.666666666666667,9
9,Benchmark for Compositional Text-to-Image Synthesis,https://openreview.net/forum?id=bKBhQhPeKaF,"[7, 6, 6]",6.333333333333333,10
10,Benchmarking Multi-Agent Deep Reinforcement Learning Algorithms in Cooperative Tasks,https://openreview.net/forum?id=cIrPX-Sn5n,"[7, 8, 8, 7, 5]",7.0,11
11,"RedCaps: Web-curated image-text data created by the people, for the people",https://openreview.net/forum?id=VjJxBi1p9zh,"[8, 7, 5]",6.666666666666667,12
12,Generating Datasets of 3D Garments with Sewing Patterns,https://openreview.net/forum?id=Pq8FBz0gZHY,"[7, 6, 7]",6.666666666666667,13
13,Programming Puzzles,https://openreview.net/forum?id=fe_hCc4RBrg,"[8, 8, 8]",8.0,14
14,The Multi-Agent Behavior Dataset: Mouse Dyadic Social Interactions,https://openreview.net/forum?id=NevK78-K4bZ,"[7, 6, 8]",7.0,15
15,CrowdSpeech and Vox DIY: Benchmark Dataset for Crowdsourced Audio Transcription,https://openreview.net/forum?id=3_hgF1NAXU7,"[6, 7, 7]",6.666666666666667,16
16,Brax - A Differentiable Physics Engine for Large Scale Rigid Body Simulation,https://openreview.net/forum?id=VdvDlnnjzIN,"[7, 7, 6]",6.666666666666667,17
17,Revisiting Time Series Outlier Detection: Definitions and Benchmarks,https://openreview.net/forum?id=r8IvOsnHchr,"[7, 6, 7]",6.666666666666667,18
18,An Extensible Benchmark Suite for Learning to Simulate Physical Systems,https://openreview.net/forum?id=pY9MHwmrymR,"[8, 7, 7]",7.333333333333333,19
19,RadGraph: Extracting Clinical Entities and Relations from Radiology Reports,https://openreview.net/forum?id=pMWtc5NKd7V,"[9, 9, 9, 9]",9.0,20
20,The People’s Speech: A Large-Scale Diverse English Speech Recognition Dataset for Commercial Usage,https://openreview.net/forum?id=R8CwidgJ0yT,"[8, 5, 7]",6.666666666666667,21
21,Therapeutics Data Commons: Machine Learning Datasets and Tasks for Drug Discovery and Development,https://openreview.net/forum?id=8nvgnORnoWr,"[9, 8, 6]",7.666666666666667,22
22,MLPerf Tiny Benchmark,https://openreview.net/forum?id=8RxxwAut1BI,"[7, 6, 6]",6.333333333333333,23
23,ATOM3D: Tasks on Molecules in Three Dimensions,https://openreview.net/forum?id=FkDZLpK1Ml2,"[9, 9, 8]",8.666666666666666,24
24,A Large-Scale Database for Graph Representation Learning,https://openreview.net/forum?id=1xDTDk3XPW,"[7, 8, 9]",8.0,25
25,Teach Me to Explain: A Review of Datasets for Explainable Natural Language Processing,https://openreview.net/forum?id=ogNcxJn32BZ,"[6, 7, 9]",7.333333333333333,26
26,LiRo: Benchmark and leaderboard for Romanian language tasks,https://openreview.net/forum?id=JH61CD7afTv,"[7, 7, 8]",7.333333333333333,27
27,Benchmarking Bias Mitigation Algorithms in Representation Learning through Fairness Metrics,https://openreview.net/forum?id=OTnqQUEwPKu,"[7, 6, 7]",6.666666666666667,28
28,EEGEyeNet: a Simultaneous Electroencephalography and Eye-tracking Dataset and Benchmark for Eye Movement Prediction,https://openreview.net/forum?id=Nc2uduhU9qa,"[7, 10, 7]",8.0,29
29,VALUE: A Multi-Task Benchmark for Video-and-Language Understanding Evaluation,https://openreview.net/forum?id=9E3dTIMxL8S,"[8, 5, 7]",6.666666666666667,30
30,Reinforcement Learning Benchmarks for Traffic Signal Control,https://openreview.net/forum?id=LqRSh6V0vR,"[6, 7, 7, 8]",7.0,31
31,Q-Pain: A Question Answering Dataset to Measure Social Bias in Pain Management,https://openreview.net/forum?id=Ud1K-l71AI2,"[8, 8, 8]",8.0,32
32,Automatic Construction of Evaluation Suites for Natural Language Generation Datasets,https://openreview.net/forum?id=CSi1eu_2q96,"[7, 6, 9]",7.333333333333333,33
33,OmniPrint: A Configurable Printed Character Synthesizer,https://openreview.net/forum?id=R07XwJPmgpl,"[7, 6, 7]",6.666666666666667,34
34,It's COMPASlicated: The Messy Relationship between RAI Datasets and Algorithmic Fairness Benchmarks,https://openreview.net/forum?id=qeM58whnpXM,"[8, 9, 8]",8.333333333333334,35
35,CommonsenseQA 2.0: Exposing the Limits of AI through Gamification,https://openreview.net/forum?id=qF7FlUT5dxa,"[7, 7, 10]",8.0,36
36,FEVEROUS: Fact Extraction and VERification Over Unstructured and Structured information,https://openreview.net/forum?id=h-flVCIlstW,"[7, 8, 7]",7.333333333333333,37
37,A Unified Few-Shot Classification Benchmark to Compare Transfer and Meta Learning Approaches,https://openreview.net/forum?id=Q0hm0_G1mpH,"[8, 7, 7]",7.333333333333333,38
38,Physion: Evaluating Physical Prediction from Vision in Humans and Machines,https://openreview.net/forum?id=CXyZrKPz4CU,"[9, 7, 6]",7.333333333333333,39
39,"PROCAT: Product Catalogue Dataset for Implicit Clustering, Permutation Learning and Structure Prediction",https://openreview.net/forum?id=HQ-6VDYUxGn,"[4, 7, 5]",5.333333333333333,40
40,Personalized Benchmarking with the Ludwig Benchmarking Toolkit,https://openreview.net/forum?id=hwjnu6qW7E4,"[8, 5, 8]",7.0,41
41,EventNarrative: A Large-scale Event-centric Dataset for Knowledge Graph-to-Text Generation,https://openreview.net/forum?id=3ZQqjt_Q6b,"[7, 7, 7]",7.0,42
42,ThreeDWorld: A Platform for Interactive Multi-Modal Physical Simulation,https://openreview.net/forum?id=db1InWAwW2T,"[7, 9, 7]",7.666666666666667,43
43,The Neural MMO Platform for Massively Multiagent Research,https://openreview.net/forum?id=J0d-I8yFtP,"[6, 7, 8]",7.0,44
44,ARKitScenes: A Diverse Real-World Dataset For 3D Indoor Scene Understanding Using Mobile RGB-D Data,https://openreview.net/forum?id=tjZjv_qh_CE,"[6, 6, 4, 7]",5.75,45
45,TenSet: A Large-scale Program Performance Dataset for Learned Tensor Compilers,https://openreview.net/forum?id=aIfp8kLuvc9,"[7, 7, 8]",7.333333333333333,46
